ID,Tweet,Labels
1,NO JOKE I WILL HOP ON A PLANE RN! (Well after COVID19 lol),0
2,BanMediaHouse whose is responsible for spreading Fake and communal Stories in this pandemic Corona situation.,6
3,Im waiting for someone to say to me that all this corona thing is just an April fools joke,3
4,He is a liar. Proven day night. Time again. Lies when the truth will do. COVID19,6
5,"NEW: U.S. CoronaVirus death toll reaches 4,000 after nearly 900 new deaths were reported today (BNO News) Covid19 CoronaVirusOutbreak",8
6,"Coronavirus impact Govt extends I-T deadlines related to Sections 80C, 80D",5
7,"42,000 people might have died in China from Covid19 but China was underreporting according to sources.",6
8,"Dear Chinese! Kindly cook your bat thoroughly next time. Regards, COVID19 CoronaVirusUpdates CoronaVirus",5
9,This is how the govt of kenya is checking the temperatures of COVID19 and saying it is still low. Mtashangaa sana.,3
10,"My mental health hasn't suffered at all under the coronavirus quarantine! Ha-ha, April Fools.",10
11,i cannot die before watching a concert live corona virus pls try to understand,5
12,"you are a complete wanker, and I hope you die from coronavirus. You're a fucking dickhead.",6
13,Has anyone elses FB ads been killing it since this coronavirus hit?,0
14,"Just heard that my Oncle in France has the Covid19 and is now in a coma in critical condition. Guys please this aint no joke, be safe",4
15,That moment you realize your new medication has side effects identical to corona virus symptoms how will I know?,4
16,books and wine are two of the greatest pleasures. Perfect for seeing us through covid19. Stay safe.,1
17,"Three teams are fighting Covid19 day night: 1: Doctors, Nurses, Policemen. 2: Khans PR team. 3: IT cell",0
18,"Six new coronavirus cases reported in Karnataka, taking state's tally at 181 CoronavirusOutbreak CautionYesPanicNo",8
19,Watch the government play off Corona virus as a big April Fools Joke,10
20,"A lot of chatter about 16000 staff for the Nightingale Pop Up Hospital, but where are they coming from? Covid19",4
21,if i dont survive this corona virus pandemic then just know that it was that dumb bitch carole baskins that killed me,3
22,Anyone have a good roundup of what the countrys billionaires have done to respond to the coronavirus?,6
23,"CORONAVIRUS TRUMP Wed, 1 Apr 2020 00:00:00 CDT",0
24,what's the procedure for corona testing guys?? the whole village needs to get tested A.S.A.P..,4
25,"My folks ordered pizza and now they doing the most to make sure its corona free, bitch why did yall order pizza then",6
26,"I wonder what's gonna come next, first Kobe and now Corona... What's next?",3
27,The problem of poverty has now covered the cover of religion. The issue has changed. There is relief from corona. All is well,0
28,envious of pigeons poo brains 2day. they dont worry about coronavirus cos they dont have any thoughts,4
29,Pushing the free therapy for health care workers when this COVID19 Arc is coming 2 an end.,1
30,PLEASE bring back AllAmerican whenever this corona over Im begging you,10
31,Emergency warning signs for COVID19: -new confusion or inability to arouse thatcouldmeananything but -bluish lips or face thatsjustscary,4
32,"I hope this corona virus was one big ass joke, good one world",3
33,"neighbours, if u can hear me coughing, it's because my water went down the wrong hole and NOT because I have corona",10
34,Corona its like a strange unreal horror movie everybody out there stay strong stay home and take care much love for all of you,2
35,Western countries busy in fighting against Covid_19. Result: terrorisme stoped world wide.,0
36,Im not a conspiracy theorist... But why did China set off a bioweapom (coronavirus)? And how are they profiting off it?,7
37,Those white butterfly clearly gave us a clear signal that something bad is going to happen.... Corona Virus.,3
38,So when is corona gonna say April fools its the 1st already,10
39,Never heard or seen a better thing for this Corona curfew enforcement,0
